date,window,product,regime,signal,level_z,entry_price,exit_price,exit_reason,bars_held,stop_dist,atr14,be_triggered,pnl_gross,pnl_net
2024-01-02,validation,CL,Easing-Contango,BUY,-1.071,-0.2453,-0.1165,trailing_stop,5,0.0944,0.0378,TRUE,0.1288,0.0888
2024-02-19,validation,CL,Backwardation-Deficit,SELL,1.059,1.129,1.3724,stop_loss,1,0.2434,0.0973,FALSE,-0.2434,-0.2834
2024-02-20,validation,CL,Backwardation-Deficit,SELL,1.935,1.7204,0.7572,trailing_stop,8,0.3482,0.1393,TRUE,0.9632,0.9232
2024-04-19,validation,CL,Backwardation-Deficit,SELL,1,1.092,1.2958,stop_loss,1,0.2038,0.0815,FALSE,-0.2038,-0.2438
2024-04-20,validation,CL,Deep-Backwardation,SELL,4.101,3.1817,0.4863,time_exit,21,0.5688,0.2275,TRUE,2.6954,2.6554
2024-04-22,validation,CL,Backwardation-Deficit,SELL,1.217,1.2371,0.4861,time_exit,21,0.9055,0.3622,TRUE,0.751,0.711
2024-06-19,validation,CL,Backwardation-Deficit,SELL,1.273,1.296,0.9781,trailing_stop,10,0.2464,0.0986,TRUE,0.3179,0.2779
2024-07-01,test,CL,Easing-Backwardation,SELL,1.105,1.0434,1.0434,trailing_stop,8,0.3494,0.1398,TRUE,0,-0.04
2024-07-10,test,CL,Backwardation-Deficit,SELL,1.198,1.044,1.2115,stop_loss,1,0.1676,0.067,FALSE,-0.1676,-0.2076
2024-07-11,test,CL,Backwardation-Deficit,SELL,1.757,1.3482,1.2662,trailing_stop,5,0.2169,0.0868,TRUE,0.082,0.042
2024-07-12,test,CL,Backwardation-Deficit,SELL,1.532,1.2048,1.2048,trailing_stop,4,0.2402,0.0961,TRUE,0,-0.04
2024-07-13,test,CL,Backwardation-Deficit,SELL,1.544,1.2017,1.2017,trailing_stop,3,0.2024,0.081,TRUE,0,-0.04
2024-07-15,test,CL,Backwardation-Deficit,SELL,1.342,1.0748,1.2903,stop_loss,2,0.2155,0.0862,FALSE,-0.2155,-0.2555
2024-07-16,test,CL,Backwardation-Deficit,SELL,1.314,1.0493,1.2694,stop_loss,1,0.2201,0.088,FALSE,-0.2201,-0.2601
2024-07-17,test,CL,Backwardation-Deficit,SELL,2.075,1.4569,1.7233,stop_loss,3,0.2664,0.1066,FALSE,-0.2664,-0.3064
2024-07-18,test,CL,Backwardation-Deficit,SELL,2.18,1.4978,1.0159,trailing_stop,17,0.2501,0.1,TRUE,0.4819,0.4419
2024-07-19,test,CL,Backwardation-Deficit,SELL,2.238,1.519,1.0101,trailing_stop,16,0.2443,0.0977,TRUE,0.5089,0.4689
2024-07-20,test,CL,Backwardation-Deficit,SELL,2.681,1.7467,1.046,trailing_stop,15,0.2802,0.1121,TRUE,0.7007,0.6607
2024-07-22,test,CL,Backwardation-Deficit,SELL,2.583,1.6856,1.0544,trailing_stop,14,0.2886,0.1155,TRUE,0.6312,0.5912
2024-07-23,test,CL,Easing-Backwardation,SELL,1.475,1.0782,1.0782,trailing_stop,7,0.3953,0.1581,TRUE,0,-0.04
2024-07-24,test,CL,Easing-Backwardation,SELL,1.458,1.0654,1.0654,trailing_stop,6,0.3969,0.1588,TRUE,0,-0.04
2024-07-25,test,CL,Backwardation-Deficit,SELL,1.653,1.1673,1.1673,trailing_stop,13,0.4023,0.1609,TRUE,0,-0.04
2024-07-26,test,CL,Backwardation-Deficit,SELL,1.597,1.1344,1.1344,trailing_stop,11,0.3779,0.1512,TRUE,0,-0.04
2024-07-27,test,CL,Backwardation-Deficit,SELL,1.581,1.1217,1.0916,trailing_stop,9,0.3259,0.1304,TRUE,0.03,-0.01
2024-07-29,test,CL,Easing-Backwardation,SELL,1.445,1.0406,1.0406,trailing_stop,2,0.3148,0.1259,TRUE,0,-0.04
2024-07-30,test,CL,Easing-Backwardation,SELL,1.128,0.8717,1.2161,stop_loss,9,0.3444,0.1377,FALSE,-0.3444,-0.3844
2024-07-31,test,CL,Easing-Backwardation,SELL,1.564,1.1003,1.1003,trailing_stop,6,0.3625,0.145,TRUE,0,-0.04
2024-08-01,test,CL,Easing-Backwardation,SELL,1.315,0.9699,0.9699,trailing_stop,5,0.3813,0.1525,TRUE,0,-0.04
2024-08-02,test,CL,Easing-Backwardation,SELL,1.256,0.9405,0.9405,trailing_stop,4,0.3137,0.1255,TRUE,0,-0.04
2024-08-03,test,CL,Easing-Backwardation,SELL,1.101,0.8588,1.1798,stop_loss,5,0.321,0.1284,FALSE,-0.321,-0.361
2024-08-06,test,CL,Easing-Backwardation,SELL,1.11,0.8656,1.1766,stop_loss,3,0.311,0.1244,FALSE,-0.311,-0.351
2024-08-07,test,CL,Backwardation-Deficit,SELL,1.555,1.1032,1.4457,stop_loss,4,0.3425,0.137,FALSE,-0.3425,-0.3825
2024-08-08,test,CL,Backwardation-Deficit,SELL,1.658,1.1595,1.4036,stop_loss,3,0.2441,0.0976,FALSE,-0.2441,-0.2841
2024-08-09,test,CL,Backwardation-Deficit,SELL,1.897,1.2883,1.5531,stop_loss,2,0.2648,0.1059,FALSE,-0.2648,-0.3048
2024-08-10,test,CL,Backwardation-Deficit,SELL,2.003,1.3462,1.6032,stop_loss,1,0.257,0.1028,FALSE,-0.257,-0.297
2024-08-12,test,CL,Backwardation-Deficit,SELL,2.563,1.6434,0.9071,trailing_stop,10,0.3042,0.1217,TRUE,0.7363,0.6963
2024-08-13,test,CL,Backwardation-Deficit,SELL,2.372,1.5434,0.9227,trailing_stop,11,0.3198,0.1279,TRUE,0.6207,0.5807
2024-08-14,test,CL,Backwardation-Deficit,SELL,1.753,1.2165,0.9666,trailing_stop,10,0.3637,0.1455,TRUE,0.25,0.21
2024-08-15,test,CL,Backwardation-Deficit,SELL,1.636,1.1548,0.9474,trailing_stop,9,0.3445,0.1378,TRUE,0.2074,0.1674
2024-08-16,test,CL,Backwardation-Deficit,SELL,1.576,1.1234,0.9122,trailing_stop,6,0.3093,0.1237,TRUE,0.2112,0.1712
2024-08-17,test,CL,Backwardation-Deficit,SELL,1.038,0.8418,0.8418,trailing_stop,5,0.3363,0.1345,TRUE,0,-0.04
2024-08-20,test,CL,Easing-Backwardation,SELL,1.018,0.779,1.1481,stop_loss,5,0.3691,0.1476,FALSE,-0.3691,-0.4091
2024-08-23,test,CL,Easing-Backwardation,SELL,1.313,0.9157,0.9157,trailing_stop,18,0.3796,0.1518,TRUE,0,-0.04
2024-08-24,test,CL,Easing-Backwardation,SELL,1.299,0.91,0.91,trailing_stop,17,0.3705,0.1482,TRUE,0,-0.04
2024-08-26,test,CL,Easing-Backwardation,SELL,1.982,1.2122,1.0385,trailing_stop,18,0.4015,0.1606,TRUE,0.1737,0.1337
2024-08-27,test,CL,Backwardation-Deficit,SELL,1.761,1.1148,1.0456,trailing_stop,17,0.4085,0.1634,TRUE,0.0692,0.0292
2024-08-28,test,CL,Backwardation-Deficit,SELL,1.773,1.121,0.9936,trailing_stop,16,0.3566,0.1426,TRUE,0.1274,0.0874
2024-08-29,test,CL,Backwardation-Deficit,SELL,1.954,1.2032,0.9904,trailing_stop,15,0.3534,0.1414,TRUE,0.2128,0.1728
2024-08-30,test,CL,Backwardation-Deficit,SELL,1.232,0.8927,0.8927,trailing_stop,12,0.3505,0.1402,TRUE,0,-0.04
2024-08-31,test,CL,Backwardation-Deficit,SELL,1.233,0.9067,0.9067,trailing_stop,11,0.342,0.1368,TRUE,0,-0.04
2024-09-02,test,CL,Backwardation-Deficit,SELL,1.531,1.0457,0.9982,trailing_stop,12,0.3612,0.1445,TRUE,0.0475,0.0075
2024-09-13,test,CL,Easing-Backwardation,SELL,1.186,0.9401,1.2256,stop_loss,3,0.2855,0.1142,FALSE,-0.2855,-0.3255
2024-09-14,test,CL,Backwardation-Deficit,SELL,1.231,0.963,1.2379,stop_loss,2,0.2749,0.11,FALSE,-0.2749,-0.3149
2024-09-16,test,CL,Backwardation-Deficit,SELL,1.713,1.1683,0.6416,trailing_stop,15,0.2561,0.1024,TRUE,0.5267,0.4867
2024-09-17,test,CL,Backwardation-Deficit,SELL,1.893,1.2447,0.6528,trailing_stop,14,0.2673,0.1069,TRUE,0.592,0.552
2024-09-18,test,CL,Backwardation-Deficit,SELL,1.205,0.9604,0.6787,trailing_stop,13,0.2932,0.1173,TRUE,0.2817,0.2417
2024-09-19,test,CL,Backwardation-Deficit,SELL,1.107,0.9237,0.6298,trailing_stop,12,0.2443,0.0977,TRUE,0.2939,0.2539
2024-09-20,test,CL,Backwardation-Deficit,SELL,1.137,0.9402,0.6185,trailing_stop,11,0.233,0.0932,TRUE,0.3217,0.2817
2024-11-08,test,CL,Easing-Backwardation,BUY,-1.248,0.2591,0.1464,stop_loss,6,0.1128,0.0451,FALSE,-0.1128,-0.1528
2024-11-09,test,CL,Easing-Backwardation,BUY,-1.269,0.26,0.1608,stop_loss,1,0.0992,0.0397,FALSE,-0.0992,-0.1392
2024-11-11,test,CL,Easing-Backwardation,BUY,-1.56,0.1532,0.0434,stop_loss,6,0.1098,0.0439,FALSE,-0.1098,-0.1498
2024-11-12,test,CL,Easing-Backwardation,BUY,-1.587,0.1473,0.0368,stop_loss,5,0.1104,0.0442,FALSE,-0.1104,-0.1504
2024-11-13,test,CL,Easing-Backwardation,BUY,-1.578,0.1544,0.0484,stop_loss,4,0.1061,0.0424,FALSE,-0.1061,-0.1461
2024-11-14,test,CL,Easing-Backwardation,BUY,-1.581,0.1538,0.0525,stop_loss,3,0.1012,0.0405,FALSE,-0.1012,-0.1412
2024-11-15,test,CL,Easing-Backwardation,BUY,-1.708,0.1055,0.3893,trailing_stop,8,0.1047,0.0419,TRUE,0.2838,0.2438
2024-11-16,test,CL,Easing-Backwardation,BUY,-1.823,0.06,0.3927,trailing_stop,7,0.1013,0.0405,TRUE,0.3327,0.2927
2024-11-18,test,CL,Easing-Backwardation,BUY,-1.953,0.0173,0.3978,trailing_stop,6,0.0962,0.0385,TRUE,0.3804,0.3404
2024-11-19,test,CL,Easing-Backwardation,BUY,-1.881,0.0452,0.394,trailing_stop,5,0.1,0.04,TRUE,0.3487,0.3087
2024-11-20,test,CL,Easing-Backwardation,BUY,-1.555,0.1693,0.3773,trailing_stop,4,0.1167,0.0467,TRUE,0.208,0.168
2024-11-21,test,CL,Easing-Backwardation,BUY,-1.154,0.3245,0.3548,trailing_stop,4,0.1392,0.0557,TRUE,0.0303,-0.0097
2024-11-25,test,CL,Easing-Backwardation,BUY,-1.033,0.3758,0.2235,stop_loss,11,0.1523,0.0609,FALSE,-0.1523,-0.1923
2024-11-26,test,CL,Easing-Backwardation,BUY,-1.151,0.3317,0.6308,trailing_stop,21,0.16,0.064,TRUE,0.2992,0.2592
2024-11-27,test,CL,Easing-Backwardation,BUY,-1.047,0.3715,0.2234,stop_loss,9,0.148,0.0592,FALSE,-0.148,-0.188
2024-11-28,test,CL,Easing-Backwardation,BUY,-1.147,0.3338,0.6371,trailing_stop,19,0.1537,0.0615,TRUE,0.3033,0.2633
2024-11-29,test,CL,Easing-Backwardation,BUY,-1.268,0.2882,0.2882,trailing_stop,6,0.1606,0.0642,TRUE,0,-0.04
2024-11-30,test,CL,Easing-Backwardation,BUY,-1.313,0.2729,0.2729,trailing_stop,5,0.1632,0.0653,TRUE,0,-0.04
2024-12-02,test,CL,Easing-Backwardation,BUY,-1.371,0.2522,0.2522,trailing_stop,5,0.1583,0.0633,TRUE,0,-0.04
2024-12-04,test,CL,Easing-Backwardation,BUY,-1.075,0.3679,0.6178,trailing_stop,14,0.173,0.0692,TRUE,0.25,0.21
2024-12-05,test,CL,Easing-Backwardation,BUY,-1.139,0.3458,0.6189,trailing_stop,13,0.1719,0.0688,TRUE,0.2731,0.2331
2024-12-06,test,CL,Easing-Backwardation,BUY,-1.387,0.2532,0.6245,trailing_stop,12,0.1663,0.0665,TRUE,0.3713,0.3313
2024-12-07,test,CL,Easing-Backwardation,BUY,-1.474,0.2225,0.6467,trailing_stop,11,0.1441,0.0576,TRUE,0.4242,0.3842
2024-12-09,test,CL,Easing-Backwardation,BUY,-1.294,0.2932,0.6608,trailing_stop,10,0.13,0.052,TRUE,0.3676,0.3276
2024-12-10,test,CL,Easing-Backwardation,BUY,-1.213,0.3251,0.6587,trailing_stop,9,0.1322,0.0529,TRUE,0.3336,0.2936
2024-12-11,test,CL,Easing-Backwardation,BUY,-1.002,0.4042,0.6657,trailing_stop,8,0.1252,0.0501,TRUE,0.2614,0.2214
2024-12-12,test,CL,Easing-Backwardation,BUY,-1.003,0.4033,0.6734,trailing_stop,7,0.1175,0.047,TRUE,0.2701,0.2301
2024-12-24,test,CL,Easing-Backwardation,BUY,-1.456,0.2397,1.3047,trailing_stop,17,0.2115,0.0846,TRUE,1.0649,1.0249
2024-12-26,test,CL,Easing-Backwardation,BUY,-1.017,0.4041,1.2879,trailing_stop,16,0.2282,0.0913,TRUE,0.8838,0.8438
2024-12-28,test,CL,Easing-Backwardation,BUY,-1.012,0.4025,1.299,trailing_stop,14,0.2172,0.0869,TRUE,0.8965,0.8565
2025-01-13,test,CL,Backwardation-Deficit,SELL,1.955,1.5161,0.5614,trailing_stop,8,0.2586,0.1035,TRUE,0.9548,0.9148
2025-01-15,test,CL,Backwardation-Deficit,SELL,1.426,1.3124,0.6456,trailing_stop,6,0.3428,0.1371,TRUE,0.6669,0.6269
2025-01-21,test,CL,Easing-Backwardation,BUY,-1.272,0.3027,0.4087,trailing_stop,13,0.4661,0.1865,TRUE,0.106,0.066
2025-02-05,test,CL,Easing-Backwardation,BUY,-1.192,0.2701,0.4125,time_exit,21,0.3927,0.1571,FALSE,0.1424,0.1024
2025-02-06,test,CL,Easing-Backwardation,BUY,-1.32,0.2241,0.3144,time_exit,21,0.3629,0.1452,TRUE,0.0902,0.0502
2025-02-07,test,CL,Easing-Backwardation,BUY,-1.204,0.2662,0.5337,time_exit,21,0.2909,0.1163,TRUE,0.2675,0.2275
2025-02-08,test,CL,Easing-Backwardation,BUY,-1.297,0.23,0.4269,time_exit,21,0.2745,0.1098,TRUE,0.1969,0.1569
2025-02-10,test,CL,Easing-Backwardation,BUY,-1.113,0.2971,0.0218,stop_loss,5,0.2754,0.1101,FALSE,-0.2754,-0.3154
2025-02-11,test,CL,Easing-Backwardation,BUY,-1.254,0.2439,0.3028,time_exit,21,0.2756,0.1103,TRUE,0.0589,0.0189
2025-02-12,test,CL,Easing-Backwardation,BUY,-1.458,0.1662,0.275,time_exit,21,0.2732,0.1093,TRUE,0.1088,0.0688
2025-02-13,test,CL,Easing-Backwardation,BUY,-1.483,0.1545,0.2996,trailing_stop,20,0.234,0.0936,TRUE,0.1451,0.1051
2025-02-14,test,CL,Easing-Backwardation,BUY,-1.821,0.0302,0.3126,trailing_stop,18,0.2211,0.0884,TRUE,0.2824,0.2424
2025-02-15,test,CL,Easing-Backwardation,BUY,-1.85,0.0183,0.3326,trailing_stop,17,0.201,0.0804,TRUE,0.3143,0.2743
2025-02-17,test,CL,Easing-Backwardation,BUY,-1.785,0.04,0.3289,trailing_stop,16,0.2047,0.0819,TRUE,0.2889,0.2489
2025-02-18,test,CL,Easing-Backwardation,BUY,-1.88,0.0042,0.3555,trailing_stop,15,0.1781,0.0712,TRUE,0.3513,0.3113
2025-02-19,test,CL,Easing-Backwardation,BUY,-1.505,0.1404,0.3433,trailing_stop,14,0.1904,0.0761,TRUE,0.2029,0.1629
2025-02-20,test,CL,Easing-Backwardation,BUY,-1.516,0.1325,0.3885,trailing_stop,12,0.1452,0.0581,TRUE,0.2559,0.2159
2025-02-21,test,CL,Easing-Backwardation,BUY,-1.424,0.1646,0.408,trailing_stop,11,0.1256,0.0503,TRUE,0.2434,0.2034
2025-02-22,test,CL,Easing-Backwardation,BUY,-1.385,0.1783,0.318,trailing_stop,7,0.1199,0.048,TRUE,0.1397,0.0997
2025-02-24,test,CL,Easing-Backwardation,BUY,-1.199,0.2469,0.409,trailing_stop,9,0.1246,0.0498,TRUE,0.1622,0.1222
2025-02-25,test,CL,Easing-Backwardation,BUY,-1.234,0.2338,0.3174,trailing_stop,5,0.1205,0.0482,TRUE,0.0836,0.0436
2025-02-26,test,CL,Easing-Backwardation,BUY,-1.122,0.2763,0.3218,trailing_stop,4,0.1161,0.0464,TRUE,0.0455,0.0055
2025-03-03,test,CL,Easing-Backwardation,BUY,-1.066,0.3144,0.4143,trailing_stop,3,0.1194,0.0477,TRUE,0.0999,0.0599
2025-03-07,test,CL,Easing-Backwardation,BUY,-1.127,0.3028,0.1397,stop_loss,9,0.163,0.0652,FALSE,-0.163,-0.203
2025-03-08,test,CL,Easing-Backwardation,BUY,-1.197,0.275,0.275,trailing_stop,7,0.1666,0.0666,TRUE,0,-0.04
