date,window,product,regime,signal,level_z,entry_price,exit_price,exit_reason,bars_held,stop_dist,atr14,be_triggered,pnl_gross,pnl_net
2024-05-04,validation,HO,Deep-Contango,BUY,-2.132,-0.0345,-0.0132,trailing_stop,13,0.0154,0.0061,TRUE,0.0213,0.0193
2024-05-28,validation,HO,Deep-Contango,BUY,-1.755,-0.0178,0.0111,trailing_stop,10,0.0103,0.0041,TRUE,0.0289,0.0269
2024-05-29,validation,HO,Deep-Contango,BUY,-1.821,-0.0184,0.0118,trailing_stop,9,0.0096,0.0038,TRUE,0.0302,0.0282
2024-05-30,validation,HO,Deep-Contango,BUY,-2.01,-0.0244,0.0108,trailing_stop,8,0.0106,0.0042,TRUE,0.0352,0.0332
2024-05-31,validation,HO,Deep-Contango,BUY,-2.02,-0.0245,0.011,trailing_stop,7,0.0104,0.0042,TRUE,0.0354,0.0334
2024-06-03,validation,HO,Deep-Contango,BUY,-2.072,-0.0257,0.0109,trailing_stop,6,0.0105,0.0042,TRUE,0.0366,0.0346
2024-06-04,validation,HO,Deep-Contango,BUY,-1.89,-0.0196,0.0098,trailing_stop,5,0.0116,0.0047,TRUE,0.0293,0.0273
2024-06-05,validation,HO,Deep-Contango,BUY,-1.858,-0.0183,0.0127,trailing_stop,4,0.0087,0.0035,TRUE,0.031,0.029
2024-06-06,validation,HO,Deep-Contango,BUY,-1.806,-0.0164,0.0156,trailing_stop,3,0.0058,0.0023,TRUE,0.032,0.03
2024-06-07,validation,HO,Deep-Contango,BUY,-1.825,-0.0167,0.0156,trailing_stop,2,0.0058,0.0023,TRUE,0.0322,0.0302
2024-06-10,validation,HO,Deep-Contango,BUY,-1.778,-0.0148,-0.0332,stop_loss,5,0.0185,0.0074,FALSE,-0.0185,-0.0205
2024-06-11,validation,HO,Deep-Contango,BUY,-1.763,-0.0144,-0.0329,stop_loss,4,0.0185,0.0074,FALSE,-0.0185,-0.0205
2024-06-15,validation,HO,Deep-Contango,BUY,-2.689,-0.0446,-0.0174,time_exit,21,0.0236,0.0094,TRUE,0.0273,0.0253
2024-06-17,validation,HO,Deep-Contango,BUY,-1.761,-0.0157,-0.017,time_exit,21,0.0277,0.0111,FALSE,-0.0012,-0.0032
2024-06-18,validation,HO,Deep-Contango,BUY,-1.764,-0.0161,-0.02,time_exit,21,0.0277,0.0111,FALSE,-0.0039,-0.0059
2024-06-21,validation,HO,Deep-Contango,BUY,-1.792,-0.0178,-0.0163,time_exit,21,0.0272,0.0109,FALSE,0.0014,-6e-04
2024-06-22,validation,HO,Deep-Contango,BUY,-1.932,-0.0224,-0.0167,time_exit,21,0.0277,0.0111,FALSE,0.0057,0.0037
2024-07-06,test,HO,Deep-Contango,BUY,-1.968,-0.0261,-0.0195,trailing_stop,6,0.0061,0.0024,TRUE,0.0066,0.0046
2024-07-31,test,HO,Deep-Contango,BUY,-1.77,-0.0233,-0.0224,trailing_stop,3,0.006,0.0024,TRUE,9e-04,-0.0011
2024-08-03,test,HO,Deep-Contango,BUY,-2.397,-0.0445,-0.0282,trailing_stop,6,0.012,0.0048,TRUE,0.0163,0.0143
2024-08-10,test,HO,Deep-Contango,BUY,-1.96,-0.0318,-0.016,time_exit,21,0.0169,0.0068,TRUE,0.0158,0.0138
2024-08-28,test,HO,Deep-Contango,BUY,-1.786,-0.0274,-0.0099,trailing_stop,21,0.0082,0.0033,TRUE,0.0174,0.0154
2024-08-30,test,HO,Deep-Contango,BUY,-1.755,-0.0271,-0.0105,trailing_stop,19,0.0088,0.0035,TRUE,0.0166,0.0146
2024-09-28,test,HO,Deep-Contango,BUY,-1.931,-0.0404,-0.0221,trailing_stop,6,0.0118,0.0047,TRUE,0.0183,0.0163
2025-01-18,test,HO,Backwardation-Deficit,SELL,2.741,0.1037,0.0668,trailing_stop,5,0.0201,0.008,TRUE,0.0369,0.0349
2025-01-21,test,HO,Backwardation-Deficit,SELL,1.886,0.0733,0.0713,trailing_stop,8,0.0261,0.0104,TRUE,0.002,0
2025-01-24,test,HO,Backwardation-Deficit,SELL,1.869,0.071,0.071,trailing_stop,5,0.0344,0.0138,TRUE,0,-0.002
2025-01-27,test,HO,Backwardation-Deficit,SELL,1.859,0.0696,0.0696,trailing_stop,17,0.0417,0.0167,TRUE,0,-0.002
2025-01-30,test,HO,Backwardation-Deficit,SELL,1.959,0.0716,0.0716,trailing_stop,14,0.0416,0.0166,TRUE,0,-0.002
2025-01-31,test,HO,Backwardation-Deficit,SELL,2.272,0.0812,0.0571,time_exit,21,0.0412,0.0165,TRUE,0.0241,0.0221
2025-02-07,test,HO,Backwardation-Deficit,SELL,1.78,0.0636,0.0628,time_exit,21,0.0355,0.0142,TRUE,8e-04,-0.0012
2025-02-11,test,HO,Backwardation-Deficit,SELL,1.839,0.0636,0.0608,trailing_stop,18,0.0276,0.0111,TRUE,0.0027,7e-04
2025-02-14,test,HO,Backwardation-Deficit,SELL,1.898,0.0638,0.0638,trailing_stop,7,0.0241,0.0097,TRUE,0,-0.002
2025-02-15,test,HO,Backwardation-Deficit,SELL,2.459,0.0797,0.0586,trailing_stop,14,0.0254,0.0102,TRUE,0.0211,0.0191
2025-02-17,test,HO,Backwardation-Deficit,SELL,1.83,0.06,0.06,trailing_stop,13,0.0272,0.0109,TRUE,0,-0.002
2025-02-20,test,HO,Backwardation-Deficit,SELL,1.756,0.0551,0.0505,trailing_stop,10,0.0173,0.0069,TRUE,0.0046,0.0026
2025-02-21,test,HO,Backwardation-Deficit,SELL,1.821,0.0562,0.0502,trailing_stop,9,0.017,0.0068,TRUE,0.006,0.004
2025-02-22,test,HO,Backwardation-Deficit,SELL,2.239,0.0669,0.0513,trailing_stop,8,0.0181,0.0073,TRUE,0.0156,0.0136
2025-02-24,test,HO,Backwardation-Deficit,SELL,1.887,0.0569,0.0512,trailing_stop,7,0.018,0.0072,TRUE,0.0057,0.0037
2025-02-25,test,HO,Backwardation-Deficit,SELL,1.902,0.0571,0.0498,trailing_stop,6,0.0166,0.0066,TRUE,0.0073,0.0053
2025-03-04,test,HO,Backwardation-Deficit,SELL,2.152,0.0628,-0.0221,trailing_stop,5,0.0198,0.0079,TRUE,0.0849,0.0829
2025-03-05,test,HO,Backwardation-Deficit,SELL,1.966,0.0575,-0.0247,trailing_stop,4,0.0173,0.0069,TRUE,0.0821,0.0801
2025-04-05,test,HO,Backwardation-Deficit,SELL,1.926,0.0577,0.0552,trailing_stop,6,0.0184,0.0073,TRUE,0.0025,5e-04
2025-04-12,test,HO,Backwardation-Deficit,SELL,2.319,0.0703,0.0634,trailing_stop,11,0.0236,0.0094,TRUE,0.0068,0.0048
2025-04-25,test,HO,Backwardation-Deficit,SELL,1.792,0.0577,0.0772,stop_loss,1,0.0195,0.0078,FALSE,-0.0195,-0.0215
2025-04-26,test,HO,Backwardation-Deficit,SELL,2.62,0.0828,0.0375,trailing_stop,14,0.0231,0.0092,TRUE,0.0453,0.0433
2025-04-28,test,HO,Backwardation-Deficit,SELL,2.467,0.0776,0.038,trailing_stop,13,0.0236,0.0094,TRUE,0.0396,0.0376
2025-05-15,test,HO,Backwardation-Deficit,SELL,1.858,0.0579,0.0474,trailing_stop,8,0.0199,0.008,TRUE,0.0104,0.0084
2025-05-24,test,HO,Backwardation-Deficit,SELL,2.258,0.0691,0.0304,trailing_stop,11,0.0246,0.0098,TRUE,0.0386,0.0366
2025-06-07,test,HO,Backwardation-Deficit,SELL,1.774,0.0535,0.0324,trailing_stop,9,0.03,0.012,TRUE,0.0211,0.0191
2025-06-08,test,HO,Backwardation-Deficit,SELL,2.079,0.0623,0.0338,trailing_stop,8,0.0314,0.0126,TRUE,0.0285,0.0265
2025-06-19,test,HO,Backwardation-Deficit,SELL,2.034,0.0623,0.0562,trailing_stop,6,0.0349,0.014,TRUE,0.0061,0.0041
2025-06-26,test,HO,Backwardation-Deficit,SELL,2.573,0.0804,0.0804,trailing_stop,3,0.0353,0.0141,TRUE,0,-0.002
2025-06-27,test,HO,Backwardation-Deficit,SELL,1.891,0.0604,0.0383,trailing_stop,7,0.0381,0.0153,TRUE,0.0221,0.0201
2025-06-30,test,HO,Backwardation-Deficit,SELL,2.668,0.0842,0.043,trailing_stop,5,0.0428,0.0171,TRUE,0.0412,0.0392
2025-11-08,test,HO,Backwardation-Deficit,SELL,2.283,0.086,0.0675,trailing_stop,6,0.0229,0.0092,TRUE,0.0185,0.0165
2025-11-15,test,HO,Backwardation-Deficit,SELL,1.98,0.0768,0.0766,trailing_stop,3,0.0263,0.0105,TRUE,2e-04,-0.0018
2025-11-18,test,HO,Backwardation-Deficit,SELL,1.905,0.0745,0.0567,trailing_stop,10,0.0337,0.0135,TRUE,0.0178,0.0158
2025-11-19,test,HO,Backwardation-Deficit,SELL,2.171,0.0819,0.0567,trailing_stop,9,0.0337,0.0135,TRUE,0.0252,0.0232
2025-11-20,test,HO,Backwardation-Deficit,SELL,2.104,0.08,0.0555,trailing_stop,8,0.0325,0.013,TRUE,0.0246,0.0226
2025-11-22,test,HO,Backwardation-Deficit,SELL,1.815,0.0717,0.0565,trailing_stop,6,0.0335,0.0134,TRUE,0.0151,0.0131
2025-11-29,test,HO,Deep-Backwardation,SELL,3.023,0.1051,0.0655,trailing_stop,6,0.0441,0.0176,TRUE,0.0396,0.0376
