date,window,product,regime,signal,level_z,entry_price,exit_price,exit_reason,bars_held,stop_dist,atr14,be_triggered,pnl_gross,pnl_net
2024-02-28,validation,LCO,Backwardation-Deficit,SELL,2.612,1.4765,0.7348,trailing_stop,15,0.2539,0.1016,TRUE,0.7417,0.7017
2024-04-26,validation,LCO,Stable-Elevated,SELL,1.529,1.2608,1.4249,stop_loss,3,0.1641,0.0656,FALSE,-0.1641,-0.2041
2024-04-30,validation,LCO,Backwardation-Deficit,SELL,2.116,1.5653,0.2486,time_exit,21,0.2255,0.0902,TRUE,1.3168,1.2768
2024-06-28,validation,LCO,Backwardation-Deficit,SELL,1.883,1.4219,1.0224,trailing_stop,11,0.2694,0.1078,TRUE,0.3995,0.3595
2025-03-31,test,LCO,Deep-Contango,BUY,-1.884,-0.0366,0.4533,trailing_stop,6,0.3067,0.1227,TRUE,0.4899,0.4499
2025-04-27,test,LCO,Stable-Elevated,SELL,1.527,1.0833,1.0833,trailing_stop,3,0.1828,0.0731,TRUE,0,-0.04
2025-05-30,test,LCO,Backwardation-Deficit,SELL,1.719,1.1437,0.8215,trailing_stop,10,0.224,0.0896,TRUE,0.3221,0.2821
2025-06-16,test,LCO,Backwardation-Deficit,SELL,2.172,1.2233,1.5494,stop_loss,1,0.3261,0.1304,FALSE,-0.3261,-0.3661
2025-07-07,test,LCO,Backwardation-Deficit,SELL,1.739,1.17,0.8183,time_exit,21,0.337,0.1348,TRUE,0.3517,0.3117
2025-07-08,test,LCO,Stable-Elevated,SELL,1.603,1.1283,0.9557,time_exit,21,0.3302,0.1321,TRUE,0.1726,0.1326
2025-07-09,test,LCO,Backwardation-Deficit,SELL,1.866,1.207,0.9194,trailing_stop,20,0.2244,0.0898,TRUE,0.2876,0.2476
2025-07-10,test,LCO,Backwardation-Deficit,SELL,1.68,1.1475,0.9257,trailing_stop,19,0.2307,0.0923,TRUE,0.2218,0.1818
2025-07-11,test,LCO,Backwardation-Deficit,SELL,1.87,1.2015,0.9005,trailing_stop,18,0.2055,0.0822,TRUE,0.301,0.261
2025-07-13,test,LCO,Backwardation-Deficit,SELL,1.846,1.1917,0.882,trailing_stop,14,0.187,0.0748,TRUE,0.3097,0.2697
2025-10-17,test,LCO,Easing-Backwardation,BUY,-1.511,0.1807,0.6294,trailing_stop,9,0.1409,0.0564,TRUE,0.4487,0.4087
2025-10-19,test,LCO,Easing-Backwardation,BUY,-1.627,0.1476,0.625,trailing_stop,8,0.1453,0.0581,TRUE,0.4774,0.4374
2025-10-20,test,LCO,Easing-Backwardation,BUY,-1.656,0.14,0.6289,trailing_stop,7,0.1414,0.0566,TRUE,0.4889,0.4489
2026-01-29,test,LCO,Stable-Elevated,SELL,1.591,1.1829,0.0897,trailing_stop,21,0.2347,0.0939,TRUE,1.0932,1.0532
2026-01-30,test,LCO,Backwardation-Deficit,SELL,2.202,1.3809,0.0947,trailing_stop,20,0.2397,0.0959,TRUE,1.2862,1.2462
2026-02-24,test,LCO,Easing-Backwardation,BUY,-1.522,0.1867,0.0066,stop_loss,2,0.18,0.072,FALSE,-0.18,-0.22
2026-02-25,test,LCO,Easing-Backwardation,BUY,-1.581,0.1667,0,stop_loss,1,0.1666,0.0667,FALSE,-0.1666,-0.2066
2026-02-26,test,LCO,Deep-Contango,BUY,-2.551,-0.145,7.5581,trailing_stop,8,0.2219,0.0888,TRUE,7.7031,7.6631
