date,window,product,regime,signal,level_z,entry_price,exit_price,exit_reason,bars_held,stop_dist,atr14,be_triggered,pnl_gross,pnl_net
2025-06-23,test,LGO,Backwardation-Deficit,SELL,1.835,9.75,19.8629,stop_loss,7,10.1129,3.371,FALSE,-10.1129,-10.6129
2025-06-24,test,LGO,Backwardation-Deficit,SELL,2.503,12.5943,23.1559,stop_loss,6,10.5616,3.5205,FALSE,-10.5616,-11.0616
2025-06-25,test,LGO,Backwardation-Deficit,SELL,2.797,13.7381,23.2738,stop_loss,5,9.5357,3.1786,FALSE,-9.5357,-10.0357
2025-06-26,test,LGO,Deep-Backwardation,SELL,3.662,17.25,26.7943,stop_loss,6,9.5443,3.1814,FALSE,-9.5443,-10.0443
2025-06-27,test,LGO,Backwardation-Deficit,SELL,3.16,14.7403,24.558,stop_loss,4,9.8178,3.2726,FALSE,-9.8178,-10.3178
2025-06-30,test,LGO,Deep-Backwardation,SELL,3.957,17.7332,27.7875,stop_loss,3,10.0543,3.3514,FALSE,-10.0543,-10.5543
2025-07-01,test,LGO,Deep-Backwardation,SELL,5.399,23.4394,34.3702,stop_loss,3,10.9308,3.6436,FALSE,-10.9308,-11.4308
2025-07-02,test,LGO,Deep-Backwardation,SELL,6.104,25.6667,36.9382,stop_loss,2,11.2716,3.7572,FALSE,-11.2716,-11.7716
2025-07-03,test,LGO,Deep-Backwardation,SELL,8.062,32.9375,44.4635,stop_loss,1,11.526,3.842,FALSE,-11.526,-12.026
2025-07-04,test,LGO,Deep-Backwardation,SELL,11.478,45.5417,59.34,stop_loss,3,13.7984,4.5995,FALSE,-13.7984,-14.2984
2025-07-06,test,LGO,Deep-Backwardation,SELL,11.173,43.8158,57.3965,stop_loss,2,13.5807,4.5269,FALSE,-13.5807,-14.0807
2025-07-07,test,LGO,Deep-Backwardation,SELL,14.823,57.2,73.2658,stop_loss,3,16.0658,5.3553,FALSE,-16.0658,-16.5658
2025-07-08,test,LGO,Deep-Backwardation,SELL,16.945,64.7083,8.4375,time_exit,21,16.6764,5.5588,TRUE,56.2708,55.7708
2025-07-09,test,LGO,Deep-Backwardation,SELL,17.496,66.25,7.1729,time_exit,21,13.9647,4.6549,TRUE,59.0771,58.5771
2025-07-10,test,LGO,Deep-Backwardation,SELL,19.835,74.4446,6.5455,time_exit,21,15.1112,5.0371,TRUE,67.8992,67.3992
2025-07-11,test,LGO,Deep-Backwardation,SELL,4.277,16.5833,5.7,time_exit,21,27.2649,9.0883,FALSE,10.8833,10.3833
2025-07-13,test,LGO,Deep-Backwardation,SELL,4.201,16.1038,5.2667,time_exit,21,26.6151,8.8717,FALSE,10.8372,10.3372
2025-07-15,test,LGO,Deep-Backwardation,SELL,3.698,14.0833,5,time_exit,21,27.1917,9.0639,FALSE,9.0833,8.5833
2025-07-16,test,LGO,Deep-Backwardation,SELL,3.76,14.2667,4.5396,time_exit,21,26.5685,8.8562,FALSE,9.7271,9.2271
2025-07-17,test,LGO,Deep-Backwardation,SELL,5.442,20.2229,7.5409,time_exit,21,26.6221,8.874,TRUE,12.682,12.182
2025-07-18,test,LGO,Deep-Backwardation,SELL,4.694,17.7857,5.7687,time_exit,21,26.6671,8.889,FALSE,12.017,11.517
2025-07-20,test,LGO,Deep-Backwardation,SELL,4.567,17.7045,1.8542,time_exit,21,25.1264,8.3755,TRUE,15.8504,15.3504
2025-07-21,test,LGO,Deep-Backwardation,SELL,6.399,25.1518,1.4375,time_exit,21,24.0214,8.0071,TRUE,23.7143,23.2143
2025-07-22,test,LGO,Deep-Backwardation,SELL,4.526,18.6429,0.2315,time_exit,21,25.0463,8.3488,TRUE,18.4114,17.9114
2025-07-23,test,LGO,Deep-Backwardation,SELL,3.988,16.9688,1.9776,time_exit,21,22.537,7.5123,TRUE,14.9912,14.4912
2025-07-25,test,LGO,Deep-Backwardation,SELL,3.741,16.625,3.625,time_exit,21,22.0374,7.3458,TRUE,13,12.5
2025-07-27,test,LGO,Deep-Backwardation,SELL,3.633,16.5,3.6607,time_exit,21,20.3082,6.7694,TRUE,12.8393,12.3393
2025-11-06,test,LGO,Deep-Backwardation,SELL,9.507,48.6958,31.2568,trailing_stop,7,9.8098,3.2699,TRUE,17.439,16.939
2025-11-07,test,LGO,Deep-Backwardation,SELL,7.497,39.2667,33.0095,trailing_stop,7,11.5625,3.8542,TRUE,6.2572,5.7572
2025-11-10,test,LGO,Deep-Backwardation,SELL,4.955,27.3,40.4399,stop_loss,6,13.1399,4.38,FALSE,-13.1399,-13.6399
2025-11-11,test,LGO,Deep-Backwardation,SELL,5.536,30.1,30.1,trailing_stop,4,13.6018,4.5339,TRUE,0,-0.5
2025-11-12,test,LGO,Deep-Backwardation,SELL,3.688,21.447,36.6494,stop_loss,4,15.2024,5.0675,FALSE,-15.2024,-15.7024
2025-11-13,test,LGO,Deep-Backwardation,SELL,3.954,22.9545,38.364,stop_loss,3,15.4094,5.1365,FALSE,-15.4094,-15.9094
2025-11-14,test,LGO,Deep-Backwardation,SELL,4.906,27.8889,3.0227,time_exit,21,16.3811,5.4604,TRUE,24.8662,24.3662
2025-11-17,test,LGO,Deep-Backwardation,SELL,5.524,31.4821,2.75,time_exit,21,17.035,5.6783,TRUE,28.7321,28.2321
2025-11-18,test,LGO,Deep-Backwardation,SELL,7.724,42.9048,4.325,time_exit,21,19.2059,6.402,TRUE,38.5798,38.0798
2025-11-19,test,LGO,Deep-Backwardation,SELL,7.72,44.004,2.3125,time_exit,21,19.2539,6.418,TRUE,41.6915,41.1915
2025-11-20,test,LGO,Deep-Backwardation,SELL,7.002,40.3333,2.35,time_exit,21,19.6155,6.5385,TRUE,37.9833,37.4833
2025-11-21,test,LGO,Deep-Backwardation,SELL,5.682,33.6548,2.4167,time_exit,21,20.9895,6.9965,TRUE,31.2381,30.7381
2025-11-24,test,LGO,Deep-Backwardation,SELL,5.557,33.125,2.7083,time_exit,21,20.5918,6.8639,TRUE,30.4167,29.9167
2025-11-25,test,LGO,Deep-Backwardation,SELL,4.085,25.8333,2.5286,time_exit,21,20.312,6.7707,TRUE,23.3048,22.8048
2026-03-03,test,LGO,Deep-Backwardation,SELL,3.697,44.1667,55.3497,stop_loss,1,11.183,3.7277,FALSE,-11.183,-11.683
2026-03-04,test,LGO,Deep-Backwardation,SELL,5.624,62.7083,76.8021,stop_loss,2,14.0938,4.6979,FALSE,-14.0938,-14.5938
2026-03-05,test,LGO,Deep-Backwardation,SELL,6.28,69,84.4134,stop_loss,1,15.4134,5.1378,FALSE,-15.4134,-15.9134
2026-03-06,test,LGO,Deep-Backwardation,SELL,9.383,98.75,75.3705,trailing_stop,6,21.7455,7.2485,TRUE,23.3795,22.8795
2026-03-08,test,LGO,Deep-Backwardation,SELL,11.003,114.2083,78.5652,trailing_stop,5,24.9402,8.3134,TRUE,35.6432,35.1432
2026-03-09,test,LGO,Deep-Backwardation,SELL,6.001,66.25,101.3795,stop_loss,4,35.1295,11.7098,FALSE,-35.1295,-35.6295
2026-03-10,test,LGO,Deep-Backwardation,SELL,5.163,58.197,94.0253,stop_loss,3,35.8283,11.9428,FALSE,-35.8283,-36.3283
2026-03-11,test,LGO,Deep-Backwardation,SELL,4.686,53.625,89.7888,stop_loss,2,36.1638,12.0546,FALSE,-36.1638,-36.6638
2026-03-12,test,LGO,Deep-Backwardation,SELL,5.05,57.0833,93.7405,stop_loss,1,36.6571,12.219,FALSE,-36.6571,-37.1571
2026-03-13,test,LGO,Deep-Backwardation,SELL,10.913,112.875,161.3982,stop_loss,12,48.5232,16.1744,FALSE,-48.5232,-49.0232
2026-03-15,test,LGO,Deep-Backwardation,SELL,10.978,113.4583,161.9315,stop_loss,11,48.4732,16.1577,FALSE,-48.4732,-48.9732
2026-03-16,test,LGO,Deep-Backwardation,SELL,10.682,110.625,159.5661,stop_loss,4,48.9411,16.3137,FALSE,-48.9411,-49.4411
